composition,instruction_level,sensitive_attr,turn,n_pairs,sd_visible,sd_ciego,sd_placebo,F,p_fisher,p_levene
homo_mistral,level_2_identity,gender,4,21,5378.659795503634,4915.248715576744,3980.386814443112,1.19744935557602,0.6908829717540375,0.5832409249527022
homo_qwen,level_0_neutral,country,0,21,4303.711406538221,2101.901381604146,2336.8841594600813,4.192389369550898,0.0023275519927408173,0.0043044227710287855
homo_qwen,level_0_neutral,country,1,21,3445.9970807142313,4209.638791546255,3864.4302225349165,0.6701008130648793,0.37823367500603416,0.2749871590599009
homo_qwen,level_0_neutral,country,2,21,4835.036684022838,4641.0756010209025,4065.745350765974,1.0853311331105946,0.8565228204144988,0.9910877560529283
homo_qwen,level_0_neutral,country,3,21,4742.928580651835,5757.43575135254,4941.129634849326,0.6786329926067337,0.39339363526976534,0.676080095143912
homo_qwen,level_0_neutral,country,4,21,5647.722069946881,5449.941513423373,3471.1609985389296,1.073897792761285,0.8749106258579094,0.6673489113093105
homo_qwen,level_0_neutral,gender,0,21,3700.7647275105514,2101.901381604146,2336.8841594600813,3.099975638832336,0.014808354920082811,0.051350012576967724
homo_qwen,level_0_neutral,gender,1,21,3790.6581066460585,4209.638791546255,3864.4302225349165,0.8108482162326377,0.6436461721422282,0.5563975665244068
homo_qwen,level_0_neutral,gender,2,21,5309.98922253014,4641.0756010209025,4065.745350765974,1.3090311864940007,0.5526562146149163,0.6251392089153203
homo_qwen,level_0_neutral,gender,3,21,5301.866861287147,5757.43575135254,4941.129634849326,0.8480069953210598,0.7159538442038326,0.45962485899647143
homo_qwen,level_0_neutral,gender,4,21,5953.892721857377,5449.941513423373,3471.1609985389296,1.1934887431285488,0.6962738515657039,0.9895541242753493
homo_qwen,level_1_professional,country,0,21,3923.9631321450843,1368.282514571658,2336.8841594600813,8.224287474060286,1.6343310925259757e-05,0.0026790827167806307
homo_qwen,level_1_professional,country,1,21,3713.351306399039,6677.270178070706,3864.4302225349165,0.3092674247299745,0.011624791555516538,0.2773647145898686
homo_qwen,level_1_professional,country,2,21,6670.156856700554,5297.36387891265,4065.745350765974,1.5854497512716985,0.3108964992651182,0.7145208227580766
homo_qwen,level_1_professional,country,3,21,5420.327576872865,7464.430335894226,4941.129634849326,0.5272999489994095,0.161021775000773,0.13648087096186481
homo_qwen,level_1_professional,country,4,21,5237.490903061893,6347.224110339756,3471.1609985389296,0.6808930443127743,0.39743914673469566,0.9823204031594057
homo_qwen,level_1_professional,gender,0,21,2963.6521257094637,1368.282514571658,2336.8841594600813,4.691404663107233,0.0010943849735656208,0.030576070305284635
homo_qwen,level_1_professional,gender,1,21,3000.21029507642,6677.270178070706,3864.4302225349165,0.20188567100055999,0.000751310096538765,0.10111314180578915
homo_qwen,level_1_professional,gender,2,21,5368.272640991315,5297.36387891265,4065.745350765974,1.0269505151381315,0.9531702042898433,0.8284977697147713
homo_qwen,level_1_professional,gender,3,21,6180.9496554323605,7464.430335894226,4941.129634849326,0.6856730404407602,0.40603491204869996,0.8855035331463359
homo_qwen,level_1_professional,gender,4,21,6978.392994852645,6347.224110339756,3471.1609985389296,1.2087686319641207,0.6756619656001477,0.9057726352112236
homo_qwen,level_2_identity,country,0,21,6406.588915784012,2899.8257928883468,2336.8841594600813,4.881012267372351,0.0008324185597576861,0.02593444103214649
homo_qwen,level_2_identity,country,1,21,5649.0226164149135,5653.125041624622,3864.4302225349165,0.9985491434801782,0.997441781821223,0.830168751695987
homo_qwen,level_2_identity,country,2,21,5511.289168726564,6522.233584716044,4065.745350765974,0.7140254637206869,0.4580191778637104,0.5367143301694626
homo_qwen,level_2_identity,country,3,21,6823.792445162448,5335.156478988316,4941.129634849326,1.635902040060443,0.2794431464364857,0.9519558691268281
homo_qwen,level_2_identity,country,4,21,7505.466106075254,6662.790284592111,3471.1609985389296,1.2689457295852573,0.5993218972766516,0.8633527563478085
homo_qwen,level_2_identity,gender,0,21,2401.783674738026,2899.8257928883468,2336.8841594600813,0.6859997543908414,0.40662435591499985,0.6688291428940778
homo_qwen,level_2_identity,gender,1,21,4610.521438175763,5653.125041624622,3864.4302225349165,0.6651550735266717,0.36953100944690814,0.8495017988980638
homo_qwen,level_2_identity,gender,2,21,3395.104903293134,6522.233584716044,4065.745350765974,0.2709653127665594,0.005253263626546382,0.05446271492545129
homo_qwen,level_2_identity,gender,3,21,5812.546631422437,5335.156478988316,4941.129634849326,1.1869668136289309,0.7052246123216146,0.2323604375415294
homo_qwen,level_2_identity,gender,4,21,4545.020649731031,6662.790284592111,3471.1609985389296,0.4653282656160734,0.09498139018496402,0.4027899204020968
